"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail","bin"
"dyad_effects[1]",-0.0756547890103434,-0.07140315,0.627042207888243,0.62751363759,-1.096167,0.9609359,1.00010144079943,2768.55204152141,4901.21188189206,"1"
"dyad_effects[2]",-1.331852518772,-1.334255,0.565142978487561,0.5537103285,-2.2435365,-0.396942,1.00031329749393,3516.0941394235,6403.08490783839,"1"
"dyad_effects[3]",0.234155127854013,0.2272935,0.688333491231146,0.6785304225,-0.89431975,1.365473,1.00071666729041,3368.30320725152,6169.21955080182,"1"
"dyad_effects[4]",-0.776518475525133,-0.7771855,0.439972397816705,0.4424634375,-1.496848,-0.0453007400000003,1.00019861317519,3240.36267749148,6127.31340708696,"1"
"dyad_effects[1]",-0.514321601830887,-0.514257,0.688457755225842,0.6833140314,-1.652625,0.60756265,0.999989232064228,2547.7390450331,4972.65488428361,"2"
"dyad_effects[2]",-0.935973757890733,-0.942217,0.555735705467566,0.548925237,-1.8478925,-0.00881912300000048,1.00013310602228,3146.32350945509,5692.84387293219,"2"
"dyad_effects[3]",-1.82498144595407,-1.82537,0.794251652749621,0.802635162,-3.126029,-0.518964750000001,1.00092687509489,5746.04412683619,8783.4336622967,"2"
"dyad_effects[4]",-0.822988878600933,-0.8258755,0.485801558435279,0.4841719407,-1.6228015,-0.0237904050000003,1.00037208806533,2627.86716730673,4775.46395334558,"2"
"dyad_effects[1]",-0.111439191429819,-0.104533,0.685424692944291,0.6763502592,-1.2605005,1.010921,1.00001238675714,2167.08394561585,3668.34833526576,"3"
"dyad_effects[2]",-0.451147225118033,-0.4403515,0.556840879652844,0.55588478379,-1.386658,0.4600513,0.999975702539122,2412.25941803718,4188.31379509522,"3"
"dyad_effects[3]",-0.0651536665934793,-0.06472585,0.724575840269131,0.72201263421,-1.2487405,1.125797,1.00018366700013,2787.02706954688,5150.81845397021,"3"
"dyad_effects[4]",-0.8075187771396,-0.810143,0.450764465965076,0.4458185613,-1.5363205,-0.0559584250000002,1.00094545332165,1932.27061270501,3822.41876989845,"3"
"dyad_effects[1]",0.18385003321868,0.180652,0.683487528052347,0.6901814346,-0.93369015,1.311777,1.00238644812813,1274.68170172903,2275.36295891984,"4"
"dyad_effects[2]",-0.70923491279098,-0.7101945,0.58653127524327,0.5949384693,-1.662516,0.26770845,1.00010546251686,1481.17806577808,3085.45793635483,"4"
