"","behavior","model","effect","Estimate","Est.Error","l-90% CI","u-90% CI","Rhat","Bulk_ESS","Tail_ESS"
"1","grooming","interaction","Intercept",-2.39696820267672,0.198257963767349,-2.71721880381788,-2.07822414948043,1.00088156410292,2564.10528497045,4105.52507062345
"2","grooming","interaction","infectedTRUE",-1.25695355044843,0.305204330900227,-1.7481856513829,-0.753907853524801,1.00073320337294,3012.37544392682,4577.30296893765
"3","grooming","interaction","post.treatmentTRUE",-1.01808074516533,0.0947736802749292,-1.17511789766193,-0.86361888474746,1.00102044351538,7062.47848283235,9225.41063635761
"4","grooming","interaction","infectedTRUE:post.treatmentTRUE",1.38685212399325,0.139175522646132,1.1610062919208,1.61717613031097,1.00111543110464,6908.49226458285,8411.88425472017
"5","grooming","interaction","Intercept",-2.39696820267672,0.198257963767349,-2.71721880381788,-2.07822414948043,1.00088156410292,2564.10528497045,4105.52507062345
"6","grooming","interaction","infectedTRUE",-1.25695355044843,0.305204330900227,-1.7481856513829,-0.753907853524801,1.00073320337294,3012.37544392682,4577.30296893765
"7","grooming","interaction","post.treatmentTRUE",-1.01808074516533,0.0947736802749292,-1.17511789766193,-0.86361888474746,1.00102044351538,7062.47848283235,9225.41063635761
"8","grooming","interaction","infectedTRUE:post.treatmentTRUE",1.38685212399325,0.139175522646132,1.1610062919208,1.61717613031097,1.00111543110464,6908.49226458285,8411.88425472017
"9","moving","interaction","Intercept",-0.771905904146927,0.185783010957904,-1.07796433788331,-0.470900618256895,1.0015374223857,2174.52905383573,2958.44914218848
"10","moving","interaction","infectedTRUE",-1.1624196330084,0.280165775999105,-1.62123200058152,-0.70316368019764,1.00189254165649,2389.54459747847,3422.27875321762
"11","moving","interaction","post.treatmentTRUE",-0.404949022500016,0.0439851335022819,-0.477038109449721,-0.332420424845898,1.00033698597914,6577.26501744941,7993.77655105569
"12","moving","interaction","infectedTRUE:post.treatmentTRUE",1.04585227334504,0.0654963581161723,0.93782926088109,1.15496235023856,1.00023740342167,6234.15789189684,7508.56573528693
