obs # ,,video,camera,year,month,day,start time,time,focal bat,bat infected,behavior (letter),comment,
1 to x,scorer,file path on hard drive,"channel number (e.g. ""2"" for CH02)",year of video,month of video,day of video,AKA focal hour,00:30-60:00 (s),Bat ID (see bat key),T/F,see behavior key in project plan key,e.g don't know if self or social grooming,
49,Michael A,CH02_2019-07-14_19_16_18__19_24_40.mp4,2,2019,07,14,19,2430,blx,T,g,,
50,Michael A,CH02_2019-07-14_19_24_40__19_33_02.mp4,2,2019,07,14,19,2500,blx,T,g,,
51,Michael A,CH02_2019-07-14_19_24_40__19_33_02.mp4,2,2019,07,14,19,2530,blx,T,g,,
52,Michael A,CH02_2019-07-14_19_24_40__19_33_02.mp4,2,2019,07,14,19,2600,blx,T,g,,
53,Michael A,CH02_2019-07-14_19_24_40__19_33_02.mp4,2,2019,07,14,19,2630,blx,T,m,,
54,Michael A,CH02_2019-07-14_19_24_40__19_33_02.mp4,2,2019,07,14,19,2700,blx,T,g,,
55,Michael A,CH02_2019-07-14_19_24_40__19_33_02.mp4,2,2019,07,14,19,2730,blx,T,g,,
56,Michael A,CH02_2019-07-14_19_24_40__19_33_02.mp4,2,2019,07,14,19,2800,blx,T,g,,
57,Michael A,CH02_2019-07-14_19_24_40__19_33_02.mp4,2,2019,07,14,19,2830,blx,T,g,,
58,Michael A,CH02_2019-07-14_19_24_40__19_33_02.mp4,2,2019,07,14,19,2900,blx,T,g,,
59,Michael A,CH02_2019-07-14_19_24_40__19_33_02.mp4,2,2019,07,14,19,2930,blx,T,m,someone in cage,
60,Michael A,CH02_2019-07-14_19_24_40__19_33_02.mp4,2,2019,07,14,19,3000,blx,T,m,,
61,Michael A,CH02_2019-07-14_19_24_40__19_33_02.mp4,2,2019,07,14,19,3030,blx,T,m,,
62,Michael A,CH02_2019-07-14_19_24_40__19_33_02.mp4,2,2019,07,14,19,3100,blx,T,m,,
63,Michael A,CH02_2019-07-14_19_24_40__19_33_02.mp4,2,2019,07,14,19,3130,blx,T,m,,
64,Michael A,CH02_2019-07-14_19_24_40__19_33_02.mp4,2,2019,07,14,19,3200,blx,T,r,,
65,Michael A,CH02_2019-07-14_19_24_40__19_33_02.mp4,2,2019,07,14,19,3230,blx,T,m,,
66,Michael A,CH02_2019-07-14_19_24_40__19_33_02.mp4,2,2019,07,14,19,3300,blx,T,g,,
67,Michael A,CH02_2019-07-14_19_33_02__19_41_25.mp4,2,2019,07,14,19,3330,blx,T,r,,
68,Michael A,CH02_2019-07-14_19_33_02__19_41_25.mp4,2,2019,07,14,19,3400,blx,T,m,,
69,Michael A,CH02_2019-07-14_19_33_02__19_41_25.mp4,2,2019,07,14,19,3430,blx,T,m,,
70,Michael A,CH02_2019-07-14_19_33_02__19_41_25.mp4,2,2019,07,14,19,3500,blx,T,m,,
71,Michael A,CH02_2019-07-14_19_33_02__19_41_25.mp4,2,2019,07,14,19,3530,blx,T,g,,
72,Michael A,CH02_2019-07-14_19_33_02__19_41_25.mp4,2,2019,07,14,19,3600,blx,T,g,,
73,Michael A,CH02_2019-07-14_19_33_02__19_41_25.mp4,2,2019,07,14,19,3630,blx,T,g,,
74,Michael A,CH02_2019-07-14_19_33_02__19_41_25.mp4,2,2019,07,14,19,3700,blx,T,g,,
75,Michael A,CH02_2019-07-14_19_33_02__19_41_25.mp4,2,2019,07,14,19,3730,blx,T,g,,
76,Michael A,CH02_2019-07-14_19_33_02__19_41_25.mp4,2,2019,07,14,19,3800,blx,T,g,,
77,Michael A,CH02_2019-07-14_19_33_02__19_41_25.mp4,2,2019,07,14,19,3830,blx,T,g,,
78,Michael A,CH02_2019-07-14_19_33_02__19_41_25.mp4,2,2019,07,14,19,3900,blx,T,g,,
79,Michael A,CH02_2019-07-14_19_33_02__19_41_25.mp4,2,2019,07,14,19,3930,blx,T,g,,
80,Michael A,CH02_2019-07-14_19_33_02__19_41_25.mp4,2,2019,07,14,19,4000,blx,T,g,,
81,Michael A,CH02_2019-07-14_19_33_02__19_41_25.mp4,2,2019,07,14,19,4030,blx,T,g,,
82,Michael A,CH02_2019-07-14_19_33_02__19_41_25.mp4,2,2019,07,14,19,4100,blx,T,g,,
83,Michael A,CH02_2019-07-14_19_41_25__19_49_47.mp4,2,2019,07,14,19,4130,blx,T,g,,
84,Michael A,CH02_2019-07-14_19_41_25__19_49_47.mp4,2,2019,07,14,19,4200,blx,T,g,,
85,Michael A,CH02_2019-07-14_19_41_25__19_49_47.mp4,2,2019,07,14,19,4230,blx,T,m,someone in cage,
86,Michael A,CH02_2019-07-14_19_41_25__19_49_47.mp4,2,2019,07,14,19,4300,blx,T,m,,
87,Michael A,CH02_2019-07-14_19_41_25__19_49_47.mp4,2,2019,07,14,19,4330,blx,T,m,,
88,Michael A,CH02_2019-07-14_19_41_25__19_49_47.mp4,2,2019,07,14,19,4400,blx,T,r,,
